pair_id,split,fold,setting
28591,train,0,pbm_heldout
15504,train,0,pbm_heldout
21118,train,0,pbm_heldout
3017,train,0,pbm_heldout
539,train,0,pbm_heldout
6452,train,0,pbm_heldout
29933,train,0,pbm_heldout
42377,train,0,pbm_heldout
43299,train,0,pbm_heldout
18267,train,0,pbm_heldout
22736,train,0,pbm_heldout
23233,train,0,pbm_heldout
14033,train,0,pbm_heldout
37156,train,0,pbm_heldout
35981,train,0,pbm_heldout
10992,train,0,pbm_heldout
8629,train,0,pbm_heldout
21997,train,0,pbm_heldout
10695,train,0,pbm_heldout
31731,train,0,pbm_heldout
9995,train,0,pbm_heldout
568,train,0,pbm_heldout
30755,train,0,pbm_heldout
13273,train,0,pbm_heldout
3721,train,0,pbm_heldout
13046,train,0,pbm_heldout
27347,train,0,pbm_heldout
37481,train,0,pbm_heldout
37706,train,0,pbm_heldout
43366,train,0,pbm_heldout
2074,train,0,pbm_heldout
17312,train,0,pbm_heldout
15490,train,0,pbm_heldout
16506,train,0,pbm_heldout
4190,train,0,pbm_heldout
30439,train,0,pbm_heldout
25935,train,0,pbm_heldout
23797,train,0,pbm_heldout
34355,train,0,pbm_heldout
26681,train,0,pbm_heldout
40238,train,0,pbm_heldout
20593,train,0,pbm_heldout
15267,train,0,pbm_heldout
44095,train,0,pbm_heldout
1467,train,0,pbm_heldout
6370,train,0,pbm_heldout
10059,train,0,pbm_heldout
36351,train,0,pbm_heldout
1280,train,0,pbm_heldout
28441,train,0,pbm_heldout
8623,train,0,pbm_heldout
3711,train,0,pbm_heldout
31599,train,0,pbm_heldout
42317,train,0,pbm_heldout
11458,train,0,pbm_heldout
11675,train,0,pbm_heldout
8379,train,0,pbm_heldout
20552,train,0,pbm_heldout
1431,train,0,pbm_heldout
25981,train,0,pbm_heldout
26219,train,0,pbm_heldout
43826,train,0,pbm_heldout
7487,train,0,pbm_heldout
17575,train,0,pbm_heldout
11948,train,0,pbm_heldout
8307,train,0,pbm_heldout
1955,train,0,pbm_heldout
40142,train,0,pbm_heldout
8349,train,0,pbm_heldout
15121,train,0,pbm_heldout
20913,train,0,pbm_heldout
44009,train,0,pbm_heldout
26987,train,0,pbm_heldout
973,train,0,pbm_heldout
40074,train,0,pbm_heldout
38441,train,0,pbm_heldout
40192,train,0,pbm_heldout
35648,train,0,pbm_heldout
20456,train,0,pbm_heldout
7654,train,0,pbm_heldout
6282,train,0,pbm_heldout
37874,train,0,pbm_heldout
6498,train,0,pbm_heldout
28798,train,0,pbm_heldout
12346,train,0,pbm_heldout
26904,train,0,pbm_heldout
13894,train,0,pbm_heldout
43888,train,0,pbm_heldout
38385,train,0,pbm_heldout
28861,train,0,pbm_heldout
43806,train,0,pbm_heldout
43938,train,0,pbm_heldout
6771,train,0,pbm_heldout
44521,train,0,pbm_heldout
24745,train,0,pbm_heldout
16519,train,0,pbm_heldout
6687,train,0,pbm_heldout
10902,train,0,pbm_heldout
25609,train,0,pbm_heldout
9701,train,0,pbm_heldout
4221,train,0,pbm_heldout
17973,train,0,pbm_heldout
33846,train,0,pbm_heldout
40231,train,0,pbm_heldout
27224,train,0,pbm_heldout
34445,train,0,pbm_heldout
19450,train,0,pbm_heldout
43110,train,0,pbm_heldout
19019,train,0,pbm_heldout
17181,train,0,pbm_heldout
24176,train,0,pbm_heldout
19667,train,0,pbm_heldout
3869,train,0,pbm_heldout
17007,train,0,pbm_heldout
16379,train,0,pbm_heldout
5859,train,0,pbm_heldout
837,train,0,pbm_heldout
3569,train,0,pbm_heldout
6596,train,0,pbm_heldout
6134,train,0,pbm_heldout
20721,train,0,pbm_heldout
9820,train,0,pbm_heldout
14892,train,0,pbm_heldout
6101,train,0,pbm_heldout
17496,train,0,pbm_heldout
13439,train,0,pbm_heldout
23316,train,0,pbm_heldout
20419,train,0,pbm_heldout
35880,train,0,pbm_heldout
2770,train,0,pbm_heldout
34067,train,0,pbm_heldout
28009,train,0,pbm_heldout
20446,train,0,pbm_heldout
8669,train,0,pbm_heldout
35558,train,0,pbm_heldout
31128,train,0,pbm_heldout
44928,train,0,pbm_heldout
38144,train,0,pbm_heldout
30220,train,0,pbm_heldout
4355,train,0,pbm_heldout
44108,train,0,pbm_heldout
34657,train,0,pbm_heldout
44380,train,0,pbm_heldout
39636,train,0,pbm_heldout
38961,train,0,pbm_heldout
34155,train,0,pbm_heldout
25841,train,0,pbm_heldout
11589,train,0,pbm_heldout
44137,train,0,pbm_heldout
7134,train,0,pbm_heldout
865,train,0,pbm_heldout
9135,train,0,pbm_heldout
14656,train,0,pbm_heldout
40077,train,0,pbm_heldout
33459,train,0,pbm_heldout
15112,train,0,pbm_heldout
11577,train,0,pbm_heldout
5403,train,0,pbm_heldout
11904,train,0,pbm_heldout
40025,train,0,pbm_heldout
38741,train,0,pbm_heldout
44550,train,0,pbm_heldout
40446,train,0,pbm_heldout
34576,train,0,pbm_heldout
41288,train,0,pbm_heldout
3383,train,0,pbm_heldout
11598,train,0,pbm_heldout
45157,train,0,pbm_heldout
22834,train,0,pbm_heldout
9822,train,0,pbm_heldout
13886,train,0,pbm_heldout
16488,train,0,pbm_heldout
42778,train,0,pbm_heldout
45581,train,0,pbm_heldout
31810,train,0,pbm_heldout
3090,train,0,pbm_heldout
16222,train,0,pbm_heldout
5584,train,0,pbm_heldout
31869,train,0,pbm_heldout
5087,train,0,pbm_heldout
18284,train,0,pbm_heldout
5,train,0,pbm_heldout
26320,train,0,pbm_heldout
38387,train,0,pbm_heldout
9632,train,0,pbm_heldout
38237,train,0,pbm_heldout
30590,train,0,pbm_heldout
41662,train,0,pbm_heldout
24779,train,0,pbm_heldout
8382,train,0,pbm_heldout
39203,train,0,pbm_heldout
26331,train,0,pbm_heldout
44657,train,0,pbm_heldout
36112,train,0,pbm_heldout
32659,train,0,pbm_heldout
36892,train,0,pbm_heldout
38653,train,0,pbm_heldout
23096,train,0,pbm_heldout
22053,train,0,pbm_heldout
26746,train,0,pbm_heldout
8273,train,0,pbm_heldout
25281,train,0,pbm_heldout
37415,train,0,pbm_heldout
9041,train,0,pbm_heldout
26132,train,0,pbm_heldout
30817,train,0,pbm_heldout
9969,train,0,pbm_heldout
4400,train,0,pbm_heldout
12891,train,0,pbm_heldout
21078,train,0,pbm_heldout
36917,train,0,pbm_heldout
16725,train,0,pbm_heldout
44659,train,0,pbm_heldout
34170,train,0,pbm_heldout
12003,train,0,pbm_heldout
10489,train,0,pbm_heldout
3644,train,0,pbm_heldout
40417,train,0,pbm_heldout
31186,train,0,pbm_heldout
458,train,0,pbm_heldout
10413,train,0,pbm_heldout
40578,train,0,pbm_heldout
44860,train,0,pbm_heldout
28780,train,0,pbm_heldout
25377,train,0,pbm_heldout
35467,train,0,pbm_heldout
38256,train,0,pbm_heldout
22420,train,0,pbm_heldout
5739,train,0,pbm_heldout
2140,train,0,pbm_heldout
37147,train,0,pbm_heldout
32974,train,0,pbm_heldout
45182,train,0,pbm_heldout
14579,train,0,pbm_heldout
12378,train,0,pbm_heldout
25934,train,0,pbm_heldout
2870,train,0,pbm_heldout
528,train,0,pbm_heldout
8278,train,0,pbm_heldout
17506,train,0,pbm_heldout
7286,train,0,pbm_heldout
503,train,0,pbm_heldout
36827,train,0,pbm_heldout
1105,train,0,pbm_heldout
10056,train,0,pbm_heldout
21718,train,0,pbm_heldout
28153,train,0,pbm_heldout
32023,train,0,pbm_heldout
42123,train,0,pbm_heldout
1059,train,0,pbm_heldout
26601,train,0,pbm_heldout
11623,train,0,pbm_heldout
17840,train,0,pbm_heldout
21793,train,0,pbm_heldout
26574,train,0,pbm_heldout
44842,train,0,pbm_heldout
29845,train,0,pbm_heldout
17238,train,0,pbm_heldout
16098,train,0,pbm_heldout
18352,train,0,pbm_heldout
26038,train,0,pbm_heldout
39033,train,0,pbm_heldout
11264,train,0,pbm_heldout
25735,train,0,pbm_heldout
33531,train,0,pbm_heldout
3498,train,0,pbm_heldout
18718,train,0,pbm_heldout
43583,train,0,pbm_heldout
4601,train,0,pbm_heldout
7588,train,0,pbm_heldout
30515,train,0,pbm_heldout
9948,train,0,pbm_heldout
25625,train,0,pbm_heldout
33297,train,0,pbm_heldout
