pair_id,split,fold,setting
44766,train,0,random
24443,train,0,random
1482,train,0,random
6359,train,0,random
25490,train,0,random
23237,train,0,random
1272,train,0,random
36455,train,0,random
13347,train,0,random
3741,train,0,random
34396,train,0,random
12562,train,0,random
13248,train,0,random
11567,train,0,random
12438,train,0,random
20508,train,0,random
1439,train,0,random
23026,train,0,random
38654,train,0,random
16091,train,0,random
17034,train,0,random
37989,train,0,random
11879,train,0,random
19892,train,0,random
1973,train,0,random
16966,train,0,random
8349,train,0,random
20875,train,0,random
41232,train,0,random
27579,train,0,random
975,train,0,random
33083,train,0,random
33696,train,0,random
35997,train,0,random
35608,train,0,random
12127,train,0,random
42323,train,0,random
9755,train,0,random
44592,train,0,random
27538,train,0,random
38316,train,0,random
13436,train,0,random
12254,train,0,random
40805,train,0,random
28366,train,0,random
38315,train,0,random
5477,train,0,random
44367,train,0,random
29609,train,0,random
33836,train,0,random
20059,train,0,random
31284,train,0,random
38711,train,0,random
26817,train,0,random
30299,train,0,random
6096,train,0,random
13002,train,0,random
4266,train,0,random
8294,train,0,random
22414,train,0,random
20775,train,0,random
32773,train,0,random
27993,train,0,random
23707,train,0,random
11055,train,0,random
16034,train,0,random
17107,train,0,random
42623,train,0,random
3901,train,0,random
29489,train,0,random
39496,train,0,random
16062,train,0,random
823,train,0,random
3595,train,0,random
21218,train,0,random
6121,train,0,random
18069,train,0,random
35780,train,0,random
16005,train,0,random
22240,train,0,random
9893,train,0,random
13349,train,0,random
30931,train,0,random
20328,train,0,random
40189,train,0,random
2783,train,0,random
32147,train,0,random
33356,train,0,random
44131,train,0,random
29003,train,0,random
24423,train,0,random
44919,train,0,random
44180,train,0,random
30155,train,0,random
4391,train,0,random
44088,train,0,random
37504,train,0,random
22109,train,0,random
39588,train,0,random
20888,train,0,random
42268,train,0,random
11566,train,0,random
26102,train,0,random
23815,train,0,random
29603,train,0,random
855,train,0,random
24446,train,0,random
27792,train,0,random
44668,train,0,random
6058,train,0,random
23201,train,0,random
9526,train,0,random
25283,train,0,random
29302,train,0,random
43227,train,0,random
41942,train,0,random
44533,train,0,random
20853,train,0,random
10971,train,0,random
11784,train,0,random
3417,train,0,random
38538,train,0,random
10386,train,0,random
19906,train,0,random
31418,train,0,random
13796,train,0,random
37502,train,0,random
